study,year,n_treatment,mean_treatment,sd_treatment,n_control,mean_control,sd_control,study_type,duration
Aerobic Trial 01,2012,36,25.8,3.9,35,24.4,4.1,RCT,12
Aerobic Trial 02,2013,42,26.7,4.2,40,24.8,4.3,RCT,16
Aerobic Trial 03,2013,30,24.9,3.8,32,23.7,4.0,Quasi-experimental,10
Aerobic Trial 04,2014,48,27.3,4.0,45,25.1,4.5,RCT,24
Aerobic Trial 05,2015,38,26.1,3.7,36,24.9,4.2,RCT,12
Aerobic Trial 06,2016,55,27.6,4.4,52,25.5,4.6,RCT,20
Aerobic Trial 07,2017,33,25.0,4.1,31,24.1,4.0,Quasi-experimental,8
Aerobic Trial 08,2018,46,28.0,3.9,44,25.9,4.3,RCT,24
Aerobic Trial 09,2019,40,26.4,4.5,39,24.6,4.4,RCT,16
Aerobic Trial 10,2020,52,27.1,4.1,50,25.2,4.5,RCT,20
Aerobic Trial 11,2021,35,25.7,3.6,34,24.0,3.9,Quasi-experimental,12
Aerobic Trial 12,2022,44,27.8,4.3,43,25.6,4.4,RCT,24
